"47",,"2019-03-13 00:49:48"
"48",,"2019-03-13 00:49:51"
"49","888888","2019-03-15 14:44:47"
"113","2114614","0","2018-11-27 01:22:35"
"114","2114614","0","2018-11-27 01:22:57"
"115","1411783","0","2018-11-27 01:23:06"
"116","1411783","1","2018-11-27 01:23:22"
"117","2114614","1","2018-11-27 01:23:30"
"118","1044245","0","2018-11-27 01:23:48"
"119","1354345","0","2018-11-27 01:23:52"
"120","2053894","0","2018-11-27 01:23:54"
"121","900906","0","2018-11-27 01:24:20"
"122","1152676","0","2018-11-27 01:24:25"
"123","922306","0","2018-11-27 01:24:30"
"124","900906","0","2018-11-27 01:24:40"
"125","900906","0","2018-11-27 01:24:43"
"126","2428776","0","2018-11-27 01:28:37"
"127","922306","1","2018-11-27 01:29:40"
"128","900906","1","2018-11-27 01:29:43"
"129","1152676","1","2018-11-27 01:29:47"
"130","1044245","1","2018-11-27 01:29:54"
"131","1354345","1","2018-11-27 01:29:59"
"132","2053894","1","2018-11-27 01:30:05"
"133","1354345","0","2018-11-27 01:32:54"
"134","2053894","0","2018-11-27 01:33:11"
"135","2053894","0","2018-11-27 01:39:04"
"136","2053894","0","2018-11-27 01:39:10"
"137","1044245","0","2018-11-27 01:39:17"
"138","922306","0","2018-11-27 01:39:30"
"139","900906","0","2018-11-27 01:39:43"
"140","1152676","0","2018-11-27 01:39:52"
"141","2428776","0","2018-11-27 01:40:13"
"142","2114614","0","2018-11-27 01:40:22"
"143","1411783","0","2018-11-27 01:40:26"
"144","2428776","1","2018-11-27 01:40:50"
"145","1411783","1","2018-11-27 01:40:57"
"146","2053894","1","2018-11-27 01:41:01"
"147","922306","0","2018-11-27 01:41:10"
"148","900906","1","2018-11-27 01:41:17"
"149","1044245","1","2018-11-27 01:41:23"
"150","1411783","1","2018-11-27 01:46:13"
"151","900906","1","2018-11-27 01:48:08"
"152","1152676","0","2018-11-27 01:48:14"
"153","922306","0","2018-11-27 01:48:26"
"154","1411783","1","2018-11-27 01:48:34"
"155","1411783","1","2018-11-27 11:21:00"
"156",,"0","2018-11-27 11:33:38"
"157","1411783","1","2018-11-27 11:52:37"
"158","1411783","1","2018-11-27 11:53:50"
"159","2053894","1","2018-11-27 11:54:16"
"160","1044245","1","2018-11-27 11:54:24"
"161","900906","1","2018-11-27 11:54:31"
"162","2114614","0","2018-11-27 11:54:54"
"163","900906","1","2018-11-27 11:55:04"
"164","922306","0","2018-11-27 11:55:17"
"165","2053894","1","2018-11-27 11:56:25"
"166","1354345","0","2018-11-27 12:48:04"
"167","2053894","1","2018-11-27 12:48:32"
"168","922306","0","2018-11-27 12:52:03"
"169","900906","1","2018-11-27 12:52:12"
"170","2053894","1","2018-11-27 12:57:12"
"171","900906","1","2018-11-27 13:05:03"
"172","900906","1","2018-11-27 16:39:32"
"173","900906","0","2018-11-27 16:40:00"
"174","922306","0","2018-11-27 16:40:33"
"175","1044245","1","2018-11-27 16:41:56"
"176","1122","0","2019-01-04 20:30:48"
"177","3345","0","2019-01-04 20:30:52"
"178","112244","0","2019-01-05 21:11:21"
"179","123456","0","2019-01-05 21:11:49"
"180","123456","0","2019-01-05 21:11:58"
"181","123456","1","2019-01-05 21:12:11"
"182","123456","0","2019-01-05 21:12:30"
"183","123456","1","2019-01-05 21:12:48"
